"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.","2","['warranty', 'repair ""depot""']","['negative', 'negative']"
"  But I needed a laptop for school use.","1","['school use']","['neutral']"
"This is the complete opposite to an ergonomic design.","1","['design']","['negative']"
"I would like at least a 4 hr. battery life.","1","['battery life']","['neutral']"
"The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.","1","['programs']","['negative']"
"Wireless has not been a issue for me, like some others have meantioned.","1","['Wireless']","['positive']"
"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.","2","['battery life', 'programs']","['negative', 'negative']"
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.","3","['trackpad', 'navigating', 'programs']","['positive', 'positive', 'positive']"
"I guess the only good thing that came out of these were the speakers and the subwoofer.","2","['speakers', 'subwoofer']","['positive', 'positive']"
"Theres a built in camera with special effects- for video and photography.","1","['built in camera']","['positive']"
"All for such a great price.","1","['price']","['positive']"
"  Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.","1","['warranty']","['neutral']"
"Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.","2","['left mouse key', 'costed']","['negative', 'neutral']"
"It has good speed and plenty of hard drive space.","2","['speed', 'hard drive space']","['positive', 'positive']"
"Clear picture on it and everything.","1","['picture']","['positive']"
"They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.","2","['extended warranty', 'extended warranties']","['neutral', 'neutral']"
"Very long-life battery (up to 10-11 hours depending on how you configure power level settings).","1","['battery']","['positive']"
"Screen is awesome, battery life is good.","2","['Screen', 'battery life']","['positive', 'positive']"
"The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.","1","['appearance']","['positive']"
"The technical service for dell is so 3rd world it might as well not even bother.","1","['technical service for dell']","['negative']"
"The graphics were awful and the warranty isn't even worth the cheap payment on the computer.","2","['graphics', 'warranty']","['negative', 'negative']"
"They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.","1","['battery']","['negative']"
"If you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, I bought the white one from Best Buy.","1","['case']","['positive']"
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.","4","['performance', 'price', 'look', 'applications']","['neutral', 'positive', 'positive', 'positive']"
"Excellent speed for processing data.","1","['speed']","['positive']"
"When you call tech support you were routed to someone who was in another country and did not know what they were doing.","1","['tech support']","['negative']"
"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.","2","['use', 'gaming']","['positive', 'positive']"
"I was taught to use Photoshop and was amazed.","1","['Photoshop']","['positive']"
"Somehow the system clock got messed up after reboot.","1","['system clock']","['negative']"
"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.","1","['RAM']","['negative']"
"With the macbook pro it comes with free securitysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.","1","['securitysoftware']","['positive']"
"The driver updates don't fix the issue, very frustrating.","1","['driver updates']","['negative']"
"I will never go back to Windows!","1","['Windows']","['negative']"
"It doesnt work worth a damn.","1","['work']","['negative']"
"It works really well.","1","['works']","['positive']"
"Bigger HD, better graphics card, and a bid HD.","3","['HD', 'graphics card', 'HD']","['positive', 'positive', 'positive']"
"The built in camera is very useful when chatting with other techs in remote buildings on our campus.","1","['built in camera']","['positive']"
"Mine came at $1,700 w/o a DVD burner (!).","1","['DVD burner']","['negative']"
"The DVD burner broke after burning 3 DVD'd during that time!","1","['DVD burner']","['negative']"
"It works fine with our wireless and they've had not problems.","1","['works']","['positive']"
"But you must get the 15 inch.","1","['15 inch']","['positive']"
"Product support very poor as each phone call costs me long distan","1","['Product support']","['negative']"
"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.","2","['use', 'screen']","['positive', 'positive']"
"  The casing of the power cord fried and shocked my husband when he pulled it out of the socket.","1","['casing of the power cord']","['negative']"
"It does not keep internet signals no matter where you bring it.","1","['internet signals']","['negative']"
"It's a great product for a great price!","1","['price']","['positive']"
"Again, the same problem, the right speaker did not work.","1","['right speaker']","['negative']"
"But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.","2","['software', 'updates']","['positive', 'positive']"
"and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.","1","['multiple page viewer']","['positive']"
"This was the 3rd day and part still had not been shipped.","1","['shipped']","['negative']"
"Keyboard good sized and wasy to use.","2","['Keyboard', 'use']","['positive', 'positive']"
"HP said it was out of warranty.","1","['warranty']","['neutral']"
"I never had this kind of quality issue with Dell (not to say Dell is that great), not with a brand new laptop.","1","['quality']","['negative']"
"wonderful features.","1","['features']","['positive']"
"I had to call HP and ask for a recovery disk because the computer does not come with one and completely redo it all.","1","['recovery disk']","['negative']"
"Im glad that it has such great features in it.","1","['features']","['positive']"
"I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.","3","['programs', 'Office', 'Office programs']","['positive', 'negative', 'neutral']"
"Great wifi too.","1","['wifi']","['positive']"
"WHEN TYPING, LETTERS AND SPACES ARE FREQUENTLY OMITTED REQUIRING THE USER TO REDO MANY WORDS AND SENTENCES.","1","['TYPING']","['negative']"
"  Only a few days after I received the computer back, the screen froze again.","1","['screen']","['negative']"
"It is not ideal for children because of the temp.","1","['temp']","['negative']"
"Although i do believe that Windows operating system may be to fault for some of the problems.","1","['Windows operating system']","['negative']"
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.","3","['OS', 'processor speed', 'thunderbolt port']","['positive', 'positive', 'positive']"
"  The lcd screen stopped working on mine after 10 months.","1","['lcd screen']","['negative']"
"Images are crisp and clean.","1","['Images']","['positive']"
"although its windows vista compared to windows xp sucks.","2","['windows vista', 'windows xp']","['negative', 'positive']"
"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.","5","['Vista', 'Adobe Flash player', 'Internet Explore', 'Windows update', 'update']","['negative', 'negative', 'negative', 'negative', 'negative']"
"with the switch being at the top you need to memorize the key combination rather than just flicking a switch.","2","['switch', 'switch']","['negative', 'negative']"
"One more tip, please purchase this model and get a 4GB stick of RAM to save you $10","1","['4GB stick of RAM']","['positive']"
"It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!","3","['hardrive', 'touch control buttons', 'keyboard']","['negative', 'negative', 'negative']"
"I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.","1","['performance']","['positive']"
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.","7","['runs', 'iLife software', 'iPhoto', 'iMovie', 'iWeb', 'iTunes', 'GarageBand']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']"
"At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.","1","['system board']","['negative']"
"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.","3","['size', 'software', 'hardware']","['neutral', 'neutral', 'neutral']"
"It has plenty of memory, lots of hard drive, and great graphics.","3","['memory', 'hard drive', 'graphics']","['positive', 'positive', 'positive']"
"It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.","2","['programs', 'navigation']","['positive', 'positive']"
"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).","2","['hinge', 'LCD']","['negative', 'neutral']"
"My problem was with DELL Customer Service.","1","['DELL Customer Service']","['negative']"
"Newegg's RMA service was great as always, I contacted them late Friday night, and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday.","1","['RMA service']","['positive']"
"Design: very durable.","1","['Design']","['positive']"
"It is easy to go from one keyboard to another.","1","['keyboard']","['neutral']"
"Has a 5-6 hour battery life.","1","['battery life']","['neutral']"
"My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60","2","['screen/video resolution', 'resolution']","['negative', 'negative']"
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.","7","['Dreamweaver', 'Final Cut Pro 7', 'Photoshop', 'Safari', 'Firefox', 'MSN Messenger', 'applications']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
"  I was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad.","1","['warrenty']","['negative']"
"Ive had to call tech support many times.","1","['tech support']","['neutral']"
"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!","2","['Apple applications', 'iPhoto']","['positive', 'positive']"
"Not to mention it has shit gigs.","1","['gigs']","['negative']"
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.","4","['memory', '17-inch screen', 'DVD', 'CD burners']","['neutral', 'neutral', 'positive', 'positive']"
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.","4","['web browsing', 'uploading photos', 'watching movies', 'creating presentations']","['positive', 'positive', 'positive', 'positive']"
"Quality Display  I love HP,, it's the only computer/printer we will buy.","1","['Quality Display']","['positive']"
"Despite the inconvenient weight, I opted for the 12 cell battery.","1","['12 cell battery']","['positive']"
"The case is carved out of a single block of aluminum.","1","['case']","['neutral']"
"     First it burned or fused the power adapter plug.","1","['power adapter plug']","['negative']"
"the features are great, the only thing it needs is better speakers.","2","['features', 'speakers']","['positive', 'negative']"
"It was still working, but there was nothing on the screen.","1","['screen']","['negative']"
"I bought this laptop and found its TAB is not functioning.","1","['TAB']","['negative']"
"  Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.","1","['extended warrenty']","['negative']"
"-Called headquarters again, they report that TFT panel is broken, should be fixed by the end of the week (week 3).","1","['TFT panel']","['negative']"
"Navigation through the computer is far superior compared to Windows operating systems, as well.","2","['Navigation', 'Windows operating systems']","['positive', 'negative']"
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.","3","['screen', 'screen size', 'bulk']","['negative', 'negative', 'negative']"
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.","4","['picture', 'video', 'music software', 'software']","['negative', 'negative', 'negative', 'positive']"
"The much lauded combined touch pad and clicker is a nightmare.","1","['combined touch pad and clicker']","['negative']"
"The Unibody construction is solid, sleek and beautiful.","1","['Unibody construction']","['positive']"
"This MacBook is an outstanding product with great value.","1","['value']","['positive']"
"I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.","2","['Windows', 'screen hinges']","['negative', 'negative']"
"A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.","2","['BATTERY', 'SERVICE']","['negative', 'negative']"
"and plenty of storage with 250 gb(though I will upgrade this and the ram..)","2","['storage', 'ram']","['positive', 'neutral']"
"No temporary replacement, they are out of replacements because ""many computers had problems with the Nvidia chipset""-Inquired status of repair.","1","['Nvidia chipset']","['negative']"
"I took it to friend who temporarily fixed it and I finally paid about 1500 for the extended warranty.","1","['extended warranty']","['neutral']"
"Programs would crash all the time, and it turned out to be a very unstable, unreliable laptop for me.","1","['Programs']","['negative']"
"I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS","1","['CHARGE TIME']","['negative']"
"Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.","2","['size', 'consistancy']","['negative', 'negative']"
"the key bindings take a little getting used to, but have loved the Macbook Pro.","1","['key bindings']","['negative']"
"Keyboard is reasonable size.","2","['Keyboard', 'size']","['positive', 'positive']"
"I find myself using the 10-key more than I thought I would.","1","['10-key']","['positive']"
"Fan noise: The fan made a constant hissing noise in the background.","2","['Fan', 'fan']","['negative', 'negative']"
"The screen is bright and clear, the operating system is solid and friendly to a novice.","2","['screen', 'operating system']","['positive', 'positive']"
"It has a .1 ghz faster processor and a stock 500gb hard drive.","2","['processor', '500gb hard drive']","['positive', 'positive']"
"The feature are good enough for what I need.","1","['feature']","['positive']"
"Finally, the biggest problem has been tech support.","1","['tech support']","['negative']"
""" This isn't a big deal, I haven't noticed the issue with DVDs or other media, only through USB output.","1","['USB output']","['negative']"
"With Windows laptops a wireless mouse is an absolute must.","1","['wireless mouse']","['neutral']"
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.","4","['Windows', 'Linux', 'size', 'screen']","['neutral', 'neutral', 'positive', 'positive']"
"But if you're willing to pay another 200 dollar for a windows disc.","1","['windows disc']","['neutral']"
"Very good quality and well made.","1","['quality']","['positive']"
"I bought a Logitech desktop set in anticipation for using with the MBP, but I use the touchpad 90% of the time.","1","['touchpad']","['positive']"
"my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.","1","['video card']","['neutral']"
"It had the full sized touch pad with 2 buttons instead of just one.","1","['touch pad']","['neutral']"
"Typically, when I purchase a new laptop I always end up using an external mouse for convenience.","1","['external mouse']","['neutral']"
"It was super easy to set up and Is really easy to get used to.","1","['set up']","['positive']"
"The only thing that can be updated is the video, other than that you're all set.","1","['video']","['negative']"
"Its a good laptop for its value.","1","['value']","['positive']"
"Then the hard drive failed;","1","['hard drive']","['negative']"
"Plain and simple, it(laptop) runs great and loads fast.","2","['runs', 'loads']","['positive', 'positive']"
"of course my warranty runs out next month.","1","['warranty']","['neutral']"
"The capabilities using that program alone made me want a Mac.","1","['program']","['positive']"
"(If you ever see the spinning beachball come up when you think it shouldn't, check the ""Activity Monitor"" app to see if the disk throughput has temporarily dropped to zero.","2","['spinning beachball', 'disk throughput']","['negative', 'neutral']"
"I have found also, it is very easy to be able to access wireless internet access;","1","['wireless internet access']","['positive']"
"This is a great value for the money.","1","['value']","['positive']"
"It was a great laptop, ran great and was really fast.","1","['ran']","['positive']"
"The battery has never worked well.","1","['battery']","['negative']"
"I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.","1","['company']","['negative']"
"The only problem is a lack of screen resolutions!","1","['screen resolutions']","['negative']"
"Small enough to use on a long flight, Light enough to carry through airports and powerful enough to replace my desktop while on long business trips.","1","['carry']","['positive']"
"Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.","2","['keyboard', 'edges']","['negative', 'negative']"
"It has many great programs, such as ILife, iPhotos and others.","3","['programs', 'ILife', 'iPhotos']","['positive', 'positive', 'positive']"
"The processor went on me, the fan went and the motherboard went.","3","['processor', 'fan', 'motherboard']","['negative', 'negative', 'negative']"
"It is very well built.","1","['built']","['positive']"
"I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.","1","['performance']","['positive']"
"The screen resolution was exactly what I was looking for.","1","['screen resolution']","['positive']"
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.","6","['Snow Leopard', 'CPU', 'spinning wheel', 'Office Mac applications', 'Word', 'Excel']","['positive', 'negative', 'negative', 'negative', 'negative', 'negative']"
"There is no number pad to the right of the keyboard which is a bummer.","2","['pad', 'keyboard']","['negative', 'negative']"
"After 20-30 min the screen of the notebook switched off.","1","['screen']","['negative']"
"If upgrade is possible to the full Windows 7, then I will truly be a very happy geek.","1","['Windows 7']","['positive']"
"I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.","3","['programs', 'iLife', 'iWork']","['positive', 'positive', 'positive']"
"10 hours of battery life is really something else....","1","['battery life']","['positive']"
"Runs fast and the regular layout keyboard is so much better.","2","['Runs', 'regular layout keyboard']","['positive', 'positive']"
"All the programs are easy and straight forward on my MacBook Pro, it is clean and organized, which I always strive to be myself.","1","['programs']","['positive']"
"I reinstalled windows through the recovery discs and everything seemed good again.","2","['windows', 'recovery discs']","['positive', 'positive']"
"Windows 7 Starter is terrific (no you can't change the background) but I don't need to, I use it just for school work.","1","['Windows 7 Starter']","['positive']"
"Support has been lackluster and now I just want a refund.","1","['Support']","['negative']"
"First of all, they had no record of me having the 3 year warranty I'd paid almost $400 for, and I had to call in, spend hours on their online chat service, and fax in multiple documents.","2","['3 year warranty', 'online chat service']","['negative', 'negative']"
""">  iPhoto is probably the best program I have ever worked with: easy and convenient.","1","['iPhoto']","['positive']"
"I love to write and play with graphics and html programming and my new Toshiba works great on both!","1","['works']","['positive']"
"My laptop now has no battery.","1","['battery']","['negative']"
"It made the computer much easier to use and navigate.","2","['use', 'navigate']","['positive', 'positive']"
":-)If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.","1","['battery life']","['negative']"
"Needs longer lasting battery, More than 1 to 2 Hrs.","1","['battery']","['negative']"
"in May I started having problems with the USB ports not working.","1","['USB ports']","['negative']"
"10 plus hours of battery...","1","['battery']","['positive']"
"The design is awesome, quality is unprecedented.","2","['design', 'quality']","['positive', 'positive']"
"The Mac version of Microsoft Office is cheaper than buying the actual and works just as well.","1","['Mac version of Microsoft Office']","['positive']"
"The Mac takes about the same amount of starting-up time as the average PC, but keeps itself cleaned up and ready to use.","1","['starting-up time']","['positive']"
"The Toshiba Net book operates very well.","1","['operates']","['positive']"
"the touch pad is fine - again, it's a real touch pad.","2","['touch pad', 'touch pad']","['positive', 'positive']"
"The pictures are clear as can be.","1","['pictures']","['positive']"
"It is also very lightweight, making transporting this computer very easy.","1","['transporting']","['positive']"
"It's wonderful for computer gaming.","1","['gaming']","['positive']"
"You have to toss out the wifi card and replace it just to have any sort of network capability.","2","['wifi card', 'network capability']","['negative', 'negative']"
"AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!","1","['printer']","['positive']"
"it is very easy for anyone to use an apple and specially the mcbook pro notebook.","1","['use']","['positive']"
"The flaws are, this computer is not for computer gamers because of the OS X.","1","['OS X']","['negative']"
"They really do have the worlds very worst repair service.","1","['repair service']","['negative']"
"They need to stop outsoucing and send some complaint calls to US based customer service agents for those who live in the United states.","1","['customer service agents']","['negative']"
"  I was also able to install and use my Photoshop and AfterEffects programs easily.","2","['Photoshop', 'AfterEffects programs']","['positive', 'positive']"
"It's perfect for everything and runs faster than an average pc!","1","['runs']","['positive']"
" Then after paying for it to be examined I was told it was same problem cited on website but I'd have to pay anyways since it was past warrenty.","1","['warrenty']","['negative']"
"I'm already hooked on the sleek look and dependability that this laptop has shown.","2","['look', 'dependability']","['positive', 'positive']"
"And having to deal with the company has been a even worse nightmare.","1","['company']","['negative']"
"  I will definitely be getting a new laptop if it has any more issues after the warranty expires and researching carefully when I do so I don't run accross a situation like this again!","1","['warranty']","['neutral']"
"It has all the features that are necessary for college and if not they are able to be added onto the computer.","1","['features']","['positive']"
"I've owned this labtop for less then two months, already the mouse button has broke.","1","['mouse button']","['negative']"
"It did fairly well, other than it's poor performance, overheating and occational blue screen.","1","['performance']","['negative']"
"The touchpad is very intuitive, so much so that I never want to use buttons to click again!","2","['touchpad', 'buttons']","['positive', 'neutral']"
"tons of bloatware and junk programs.","1","['programs']","['negative']"
"lots of extra space but the keyboard is ridiculously small.","2","['space', 'keyboard']","['positive', 'negative']"
"It's so bad that I'm thinking I only got half a battery or something.","1","['battery']","['negative']"
"Good keyboard, long battery life, largest hard drive and windows 7.","4","['keyboard', 'battery life', 'hard drive', 'windows 7']","['positive', 'positive', 'positive', 'positive']"
"The processor is very quick and effective as I load webpages and applications.","4","['processor', 'load', 'webpages', 'applications']","['positive', 'positive', 'neutral', 'neutral']"
"My battery went bad about a year and a half after having it and it cost around eighty to a hundred dollars!","1","['battery']","['negative']"
"It pretty much does everything we could ever need, and looks great to boot.","1","['boot']","['positive']"
"As a lifelong Windows user, I was extremely pleased to make the change to Mac.","1","['Windows']","['negative']"
"The Macbook is also made better, my computer has never got a virus, and the laptop runs just as fast as the first day I bought it.","1","['runs']","['positive']"
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.","3","['OpenOffice', 'Firefox', 'price']","['neutral', 'neutral', 'positive']"
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.","3","['quality', 'performance', 'battery life']","['negative', 'negative', 'positive']"
"I picked it out because it was inexpensive ($400) and I thought it would be a good, easy to use first laptop.","1","['use']","['positive']"
"MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.","1","['PRODUCT KEY']","['negative']"
"Pay attention to the specs if you want these options.","1","['specs']","['neutral']"
"It also does not have bluetooth.","1","['bluetooth']","['negative']"
"Sure it has the one touch keys but that was the best feature of the computer.","1","['one touch keys']","['positive']"
"great battery life.","1","['battery life']","['positive']"
"The real stand out on this computer is the feel of the keyboard and it's speed.","2","['keyboard', 'speed']","['positive', 'positive']"
"At first, the computer seemed a great deal--seemingly high-end specs for a low, low price.","2","['specs', 'price']","['positive', 'positive']"
"Delivery was early too.","1","['Delivery']","['positive']"
"Love the stability of the Mac software and operating system.","3","['stability', 'Mac software', 'operating system']","['positive', 'positive', 'positive']"
"And that probably explains why I've already had my SATA controller go bad within a year of buying it.","1","['SATA controller']","['negative']"
"It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).","3","['video editing', 'performance', 'mobile video editing']","['positive', 'negative', 'neutral']"
"My main reason to convert was the imovie program.","1","['imovie program']","['positive']"
"It has a faster processor and more ram.","2","['processor', 'ram']","['positive', 'positive']"
"Laptops are usually used on the go, so why not give you a better battery?","1","['battery']","['negative']"
"I wasn't a big fan of the Netbooks but this one was very well designed.","1","['designed']","['positive']"
"And the warranty on this macbook pro can last up to 5 years or 1000 battery recharge cycles.","1","['warranty']","['positive']"
"I still have that stupid bluetooth mouse to!","1","['bluetooth mouse']","['negative']"
"Would like more trendy, high tech features.","1","['features']","['negative']"
"Keyboard is great but primary and secondary control buttons could be more durable.","2","['Keyboard', 'control buttons']","['positive', 'negative']"
"I got it back again and was told the motherboard had been replaced, so I was now on the SECOND motherboard within 3 months.","2","['motherboard', 'motherboard']","['negative', 'negative']"
"Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance (2.3 GHz v/s 2.4 GHz).","2","['Processor', 'performance']","['neutral', 'neutral']"
"They say it could be the motherboard again, but Dell","1","['motherboard']","['negative']"
"2nd Best computer in the world  only one way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into","1","['patches']","['negative']"
"Love the speed, especially!","1","['speed']","['positive']"
"It could be a perfect laptop if it would have faster system memory and its radeon 5850 would have DDR5 instead of DDR3.","4","['system memory', 'radeon 5850', 'DDR5', 'DDR3']","['negative', 'negative', 'positive', 'negative']"
"Not only are the versions of these programs able to be saved, worked on and opened on both a PC and Mac, the versions of these programs on a Mac are graphically and functionally superior.","2","['programs', 'programs']","['positive', 'positive']"
"The speed gives you the power to work on these projects seamlessly, and multiple at a time if you sowish.","1","['speed']","['positive']"
"Awesome laptop and the perfect size to carry around in college.","1","['size']","['positive']"
" A MONTH LATER, we reinstall the OS (Vista).","1","['OS (Vista)']","['negative']"
"Some problems can be fixed if you purchase new software, but there is no guarentee.","1","['software']","['negative']"
"My real problem with it? The statement of 7 hour battery life is not just mere exaggeration -- it's a lie.","1","['battery life']","['negative']"
"The battery life is also relatively good.","1","['battery life']","['positive']"
"  I definitely suggest getting an extended warranty, you will probably need it!","1","['extended warranty']","['positive']"
"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.","3","['use', 'features', 'programs']","['positive', 'positive', 'positive']"
"I don't have stupid pop up windows (even when I have pop ups blocked), I don't have to wait 5 minutes for a webpage to download, and best of all I can run all the web programming software I need to use all at once without slowing me down.","3","['pop up windows', 'pop ups', 'web programming software']","['positive', 'neutral', 'positive']"
"Memory is upgradable.","1","['Memory']","['positive']"
"Web access through the 3G network is so slow, it's very frustrating and VERY DISAPPOINTING.","2","['Web access', '3G network']","['negative', 'negative']"
"The large screen also helps when you are working in design based programs like Adobe Creative Suite.","3","['screen', 'design based programs', 'Adobe Creative Suite']","['positive', 'neutral', 'neutral']"
"Moral of the story:-Do not buy anything from companies that do not respect their customers.","1","['companies']","['negative']"
"This is my first Dell I heard their customer service was lacking and that they were working on improving it!","1","['customer service']","['negative']"
"As well as having the plug in the computer come loose.","1","['plug']","['negative']"
"Second HDD cover has walls inside that need to be broken if you what to install one.","1","['HDD cover']","['neutral']"
"If you want more information on macs I suggest going to apple.com and heading towards the macbook page for more information on the applications.","1","['applications']","['neutral']"
"Great product by Apple with the new great looking design.","1","['design']","['positive']"
"I love the keyboard.","1","['keyboard']","['positive']"
"I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.","2","['iphoto', 'program']","['positive', 'positive']"
"I will have to purchase Spy ware or Nortell for privacy protection.","2","['Spy ware', 'Nortell']","['neutral', 'neutral']"
"I was said it's videocard.","1","['videocard']","['negative']"
"For the price and what I get out of it has exceeded my expectations.","1","['price']","['positive']"
"If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.","1","['drivers']","['negative']"
"The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.","2","['speakers', 'keyboard']","['negative', 'neutral']"
"  Now, as easy as it is to use, and I do think it is a great STARTER laptop.","1","['use']","['positive']"
"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.","3","['Setting', 'screen size', 'pixel sizes']","['negative', 'negative', 'negative']"
"It had some kind of pre installed software update that completely shut the computer down when you clicked it.","1","['pre installed software update']","['negative']"
"Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.","2","['customer services', 'toshiba customer services']","['negative', 'negative']"
"Also, the space bar makes a noisy click every time you use it.","1","['space bar']","['negative']"
"iPhotos is an excellent program for storing and organizing photos.","2","['iPhotos', 'program']","['positive', 'positive']"
"Other than that its a great performing machine and well meets all my needs and more.","1","['performing']","['positive']"
"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.","3","['software', 'software', 'booting']","['negative', 'negative', 'negative']"
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.","4","['programs', 'iphoto', 'imail', 'imovie']","['positive', 'positive', 'positive', 'positive']"
"The only thing I didn't learn in my research was the software I would need like privacy protection and warranty protection, in case it gets broken, or crashes etc.","1","['software']","['neutral']"
"Comfterbale to use light easy to transport.","2","['use', 'transport']","['positive', 'positive']"
"The Computer itself is a good product but the repair depot stinks.","1","['repair depot']","['negative']"
"I thought the price was great for the specs.","2","['price', 'specs']","['positive', 'positive']"
"the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.","1","['cd drive']","['negative']"
"So, the hard disk capacity really doesn't matter to me.","1","['hard disk capacity']","['neutral']"
"Keys stick periodically and I havent had the laptop for 45 days yet.","1","['Keys']","['negative']"
"I also like that you can scroll down in a window using two fingers on the trackpad.","1","['trackpad']","['positive']"
